resume_text,category
"Name: Candidate 9055 Role: UI Designer Professional Summary: Motivated and detail-oriented UI Designer with hands-on experience in software projects and problem solving. Skilled in Prototyping, Wireframing, Design Systems, Illustrator and passionate about building impactful solutions. Skills: Prototyping, Wireframing, Design Systems, Illustrator, Interaction Design, Responsive Design, Visual Design Projects: - conducted user research and usability testing - built a scalable design system Experience: - Tested, debugged, and deployed production-ready applications. - Improved application performance and user experience through optimization. Education: Bachelor of Science in Computer Science",UI/UX Designer
"Name: Candidate 6002 Role: DevOps Engineer Professional Summary: Motivated and detail-oriented DevOps Engineer with hands-on experience in software projects and problem solving. Skilled in Grafana, GitHub Actions, Linux, Monitoring and passionate about building impactful solutions. Skills: Grafana, GitHub Actions, Linux, Monitoring, AWS, CI/CD, Docker Projects: - automated CI/CD pipelines for deployment - containerized applications using Docker Experience: - Tested, debugged, and deployed production-ready applications. - Built scalable solutions and maintained clean code practices. Education: Diploma in Software Engineering",DevOps
"Name: Candidate 3535 Role: Data Scientist Professional Summary: Motivated and detail-oriented Data Scientist with hands-on experience in software projects and problem solving. Skilled in TensorFlow, Deep Learning, Statistics, Computer Vision and passionate about building impactful solutions. Skills: TensorFlow, Deep Learning, Statistics, Computer Vision, Python, Machine Learning, Data Analysis Projects: - developed an NLP-based sentiment analysis system - built a customer churn prediction model Experience: - Tested, debugged, and deployed production-ready applications. - Improved application performance and user experience through optimization. Education: Diploma in Software Engineering",Data Science
"Name: Candidate 8808 Role: Android Developer Professional Summary: Motivated and detail-oriented Android Developer with hands-on experience in software projects and problem solving. Skilled in Android Studio, Java, Retrofit, Material Design and passionate about building impactful solutions. Skills: Android Studio, Java, Retrofit, Material Design, Firebase, XML, Jetpack Compose Projects: - developed a chat application using Firebase - implemented offline storage with Room database Experience: - Participated in agile development and version control workflows. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Technology in Computer Science",Android Development
"Name: Candidate 1745 Role: Data Analyst Professional Summary: Motivated and detail-oriented Data Analyst with hands-on experience in software projects and problem solving. Skilled in Pandas, NLP, Scikit-learn, Machine Learning and passionate about building impactful solutions. Skills: Pandas, NLP, Scikit-learn, Machine Learning, Seaborn, Deep Learning, NumPy Projects: - developed an NLP-based sentiment analysis system - built a customer churn prediction model Experience: - Improved application performance and user experience through optimization. - Participated in agile development and version control workflows. Education: Diploma in Software Engineering",Data Science
"Name: Candidate 6592 Role: Product Designer Professional Summary: Motivated and detail-oriented Product Designer with hands-on experience in software projects and problem solving. Skilled in Wireframing, Interaction Design, Responsive Design, Figma and passionate about building impactful solutions. Skills: Wireframing, Interaction Design, Responsive Design, Figma, Prototyping, Usability Testing, Adobe XD Projects: - conducted user research and usability testing - designed mobile app user interfaces Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Improved application performance and user experience through optimization. Education: Diploma in Software Engineering",UI/UX Designer
"Name: Candidate 7125 Role: Full Stack Developer Professional Summary: Motivated and detail-oriented Full Stack Developer with hands-on experience in software projects and problem solving. Skilled in Git, MySQL, CSS, Frontend Development and passionate about building impactful solutions. Skills: Git, MySQL, CSS, Frontend Development, Tailwind CSS, React, HTML Projects: - created a portfolio website with animations - integrated payment gateway into a web application Experience: - Tested, debugged, and deployed production-ready applications. - Tested, debugged, and deployed production-ready applications. Education: Master of Computer Applications",Web Development
"Name: Candidate 9938 Role: Cloud Engineer Professional Summary: Motivated and detail-oriented Cloud Engineer with hands-on experience in software projects and problem solving. Skilled in Terraform, Shell Scripting, Docker, AWS and passionate about building impactful solutions. Skills: Terraform, Shell Scripting, Docker, AWS, Monitoring, Prometheus, Ansible Projects: - set up monitoring dashboards with Grafana - provisioned cloud infrastructure using Terraform Experience: - Improved application performance and user experience through optimization. - Built scalable solutions and maintained clean code practices. Education: Bachelor of Science in Computer Science",DevOps
"Name: Candidate 4912 Role: Mobile App Developer Professional Summary: Motivated and detail-oriented Mobile App Developer with hands-on experience in software projects and problem solving. Skilled in Firebase, Jetpack Compose, SQLite, MVVM and passionate about building impactful solutions. Skills: Firebase, Jetpack Compose, SQLite, MVVM, Java, Room Database, Material Design Projects: - developed a chat application using Firebase - built a task manager Android app Experience: - Participated in agile development and version control workflows. - Tested, debugged, and deployed production-ready applications. Education: Diploma in Software Engineering",Android Development
"Name: Candidate 8908 Role: DevOps Engineer Professional Summary: Motivated and detail-oriented DevOps Engineer with hands-on experience in software projects and problem solving. Skilled in Linux, Jenkins, CI/CD, Shell Scripting and passionate about building impactful solutions. Skills: Linux, Jenkins, CI/CD, Shell Scripting, Terraform, Kubernetes, GitHub Actions Projects: - provisioned cloud infrastructure using Terraform - set up monitoring dashboards with Grafana Experience: - Participated in agile development and version control workflows. - Participated in agile development and version control workflows. Education: Bachelor of Science in Computer Science",DevOps
"Name: Candidate 5487 Role: Site Reliability Engineer Professional Summary: Motivated and detail-oriented Site Reliability Engineer with hands-on experience in software projects and problem solving. Skilled in Terraform, GitHub Actions, Docker, Grafana and passionate about building impactful solutions. Skills: Terraform, GitHub Actions, Docker, Grafana, Prometheus, Shell Scripting, AWS Projects: - managed Kubernetes clusters in production - containerized applications using Docker Experience: - Improved application performance and user experience through optimization. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Technology in Computer Science",DevOps
"Name: Candidate 8140 Role: AI Engineer Professional Summary: Motivated and detail-oriented AI Engineer with hands-on experience in software projects and problem solving. Skilled in Python, Deep Learning, Machine Learning, TensorFlow and passionate about building impactful solutions. Skills: Python, Deep Learning, Machine Learning, TensorFlow, Matplotlib, SQL, Data Analysis Projects: - analyzed large datasets to generate business insights - created a sales forecasting dashboard Experience: - Improved application performance and user experience through optimization. - Participated in agile development and version control workflows. Education: Bachelor of Science in Computer Science",Data Science
"Name: Candidate 7498 Role: Data Analyst Professional Summary: Motivated and detail-oriented Data Analyst with hands-on experience in software projects and problem solving. Skilled in NumPy, Data Analysis, NLP, Matplotlib and passionate about building impactful solutions. Skills: NumPy, Data Analysis, NLP, Matplotlib, Pandas, Computer Vision, Machine Learning Projects: - built a customer churn prediction model - analyzed large datasets to generate business insights Experience: - Tested, debugged, and deployed production-ready applications. - Built scalable solutions and maintained clean code practices. Education: Master of Computer Applications",Data Science
"Name: Candidate 1348 Role: Site Reliability Engineer Professional Summary: Motivated and detail-oriented Site Reliability Engineer with hands-on experience in software projects and problem solving. Skilled in Docker, AWS, Shell Scripting, Kubernetes and passionate about building impactful solutions. Skills: Docker, AWS, Shell Scripting, Kubernetes, Monitoring, Terraform, Jenkins Projects: - provisioned cloud infrastructure using Terraform - managed Kubernetes clusters in production Experience: - Built scalable solutions and maintained clean code practices. - Improved application performance and user experience through optimization. Education: Diploma in Software Engineering",DevOps
"Name: Candidate 1197 Role: Web Developer Professional Summary: Motivated and detail-oriented Web Developer with hands-on experience in software projects and problem solving. Skilled in Node.js, Tailwind CSS, HTML, React and passionate about building impactful solutions. Skills: Node.js, Tailwind CSS, HTML, React, MySQL, MongoDB, CSS Projects: - built a full stack blog platform - designed a REST API for user authentication Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Tested, debugged, and deployed production-ready applications. Education: Diploma in Software Engineering",Web Development
"Name: Candidate 1230 Role: AI Engineer Professional Summary: Motivated and detail-oriented AI Engineer with hands-on experience in software projects and problem solving. Skilled in Computer Vision, NumPy, SQL, PyTorch and passionate about building impactful solutions. Skills: Computer Vision, NumPy, SQL, PyTorch, Machine Learning, Scikit-learn, Pandas Projects: - developed an NLP-based sentiment analysis system - created a sales forecasting dashboard Experience: - Participated in agile development and version control workflows. - Improved application performance and user experience through optimization. Education: Bachelor of Science in Computer Science",Data Science
"Name: Candidate 4437 Role: Android Developer Professional Summary: Motivated and detail-oriented Android Developer with hands-on experience in software projects and problem solving. Skilled in SQLite, Gradle, Android Studio, Jetpack Compose and passionate about building impactful solutions. Skills: SQLite, Gradle, Android Studio, Jetpack Compose, Kotlin, XML, Retrofit Projects: - created a food delivery mobile app - developed a chat application using Firebase Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Built scalable solutions and maintained clean code practices. Education: Diploma in Software Engineering",Android Development
"Name: Candidate 3651 Role: Java Developer Professional Summary: Motivated and detail-oriented Java Developer with hands-on experience in software projects and problem solving. Skilled in Microservices, REST API, PostgreSQL, MySQL and passionate about building impactful solutions. Skills: Microservices, REST API, PostgreSQL, MySQL, JUnit, Git, Hibernate Projects: - optimized database queries for performance - designed microservices for scalable systems Experience: - Built scalable solutions and maintained clean code practices. - Built scalable solutions and maintained clean code practices. Education: Bachelor of Technology in Computer Science",Java Developer
"Name: Candidate 7879 Role: DevOps Engineer Professional Summary: Motivated and detail-oriented DevOps Engineer with hands-on experience in software projects and problem solving. Skilled in Terraform, Linux, GitHub Actions, Shell Scripting and passionate about building impactful solutions. Skills: Terraform, Linux, GitHub Actions, Shell Scripting, Kubernetes, Nginx, Docker Projects: - set up monitoring dashboards with Grafana - automated CI/CD pipelines for deployment Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Improved application performance and user experience through optimization. Education: Bachelor of Science in Computer Science",DevOps
"Name: Candidate 1886 Role: Android Developer Professional Summary: Motivated and detail-oriented Android Developer with hands-on experience in software projects and problem solving. Skilled in Gradle, Java, SQLite, Material Design and passionate about building impactful solutions. Skills: Gradle, Java, SQLite, Material Design, Room Database, Jetpack Compose, MVVM Projects: - built a task manager Android app - developed a chat application using Firebase Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Built scalable solutions and maintained clean code practices. Education: Diploma in Software Engineering",Android Development
"Name: Candidate 9871 Role: Backend Developer Professional Summary: Motivated and detail-oriented Backend Developer with hands-on experience in software projects and problem solving. Skilled in React, Backend Development, Next.js, Bootstrap and passionate about building impactful solutions. Skills: React, Backend Development, Next.js, Bootstrap, Express.js, JavaScript, CSS Projects: - developed a responsive e-commerce website - integrated payment gateway into a web application Experience: - Tested, debugged, and deployed production-ready applications. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Science in Computer Science",Web Development
"Name: Candidate 1260 Role: Backend Engineer Professional Summary: Motivated and detail-oriented Backend Engineer with hands-on experience in software projects and problem solving. Skilled in Gradle, Docker, PostgreSQL, OOP and passionate about building impactful solutions. Skills: Gradle, Docker, PostgreSQL, OOP, REST API, MySQL, Spring Boot Projects: - built RESTful services using Spring Boot - optimized database queries for performance Experience: - Improved application performance and user experience through optimization. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Technology in Computer Science",Java Developer
"Name: Candidate 1599 Role: Backend Engineer Professional Summary: Motivated and detail-oriented Backend Engineer with hands-on experience in software projects and problem solving. Skilled in Hibernate, PostgreSQL, JUnit, Git and passionate about building impactful solutions. Skills: Hibernate, PostgreSQL, JUnit, Git, Maven, Microservices, Gradle Projects: - implemented authentication and authorization modules - designed microservices for scalable systems Experience: - Built scalable solutions and maintained clean code practices. - Tested, debugged, and deployed production-ready applications. Education: Diploma in Software Engineering",Java Developer
"Name: Candidate 3561 Role: Frontend Developer Professional Summary: Motivated and detail-oriented Frontend Developer with hands-on experience in software projects and problem solving. Skilled in Node.js, Frontend Development, Tailwind CSS, Next.js and passionate about building impactful solutions. Skills: Node.js, Frontend Development, Tailwind CSS, Next.js, Bootstrap, CSS, Git Projects: - designed a REST API for user authentication - integrated payment gateway into a web application Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Built scalable solutions and maintained clean code practices. Education: Bachelor of Science in Computer Science",Web Development
"Name: Candidate 5743 Role: AI Engineer Professional Summary: Motivated and detail-oriented AI Engineer with hands-on experience in software projects and problem solving. Skilled in NLP, Matplotlib, Python, TensorFlow and passionate about building impactful solutions. Skills: NLP, Matplotlib, Python, TensorFlow, Seaborn, PyTorch, Pandas Projects: - developed an NLP-based sentiment analysis system - trained an image classification model Experience: - Built scalable solutions and maintained clean code practices. - Built scalable solutions and maintained clean code practices. Education: Diploma in Software Engineering",Data Science
"Name: Candidate 9043 Role: Web Developer Professional Summary: Motivated and detail-oriented Web Developer with hands-on experience in software projects and problem solving. Skilled in Git, REST API, Next.js, Frontend Development and passionate about building impactful solutions. Skills: Git, REST API, Next.js, Frontend Development, Backend Development, Node.js, Bootstrap Projects: - created a portfolio website with animations - built a full stack blog platform Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Built scalable solutions and maintained clean code practices. Education: Bachelor of Technology in Computer Science",Web Development
"Name: Candidate 5170 Role: Java Developer Professional Summary: Motivated and detail-oriented Java Developer with hands-on experience in software projects and problem solving. Skilled in JPA, Docker, Microservices, Git and passionate about building impactful solutions. Skills: JPA, Docker, Microservices, Git, REST API, OOP, MySQL Projects: - implemented authentication and authorization modules - optimized database queries for performance Experience: - Improved application performance and user experience through optimization. - Participated in agile development and version control workflows. Education: Diploma in Software Engineering",Java Developer
"Name: Candidate 5116 Role: Mobile App Developer Professional Summary: Motivated and detail-oriented Mobile App Developer with hands-on experience in software projects and problem solving. Skilled in Room Database, XML, SQLite, Kotlin and passionate about building impactful solutions. Skills: Room Database, XML, SQLite, Kotlin, Firebase, Jetpack Compose, REST API Projects: - implemented offline storage with Room database - created a food delivery mobile app Experience: - Built scalable solutions and maintained clean code practices. - Built scalable solutions and maintained clean code practices. Education: Bachelor of Engineering in Information Technology",Android Development
"Name: Candidate 5600 Role: Full Stack Developer Professional Summary: Motivated and detail-oriented Full Stack Developer with hands-on experience in software projects and problem solving. Skilled in MySQL, Frontend Development, Next.js, Bootstrap and passionate about building impactful solutions. Skills: MySQL, Frontend Development, Next.js, Bootstrap, HTML, REST API, JavaScript Projects: - designed a REST API for user authentication - built a full stack blog platform Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Tested, debugged, and deployed production-ready applications. Education: Bachelor of Engineering in Information Technology",Web Development
"Name: Candidate 1095 Role: Mobile App Developer Professional Summary: Motivated and detail-oriented Mobile App Developer with hands-on experience in software projects and problem solving. Skilled in SQLite, Retrofit, Kotlin, Gradle and passionate about building impactful solutions. Skills: SQLite, Retrofit, Kotlin, Gradle, Android Studio, Java, MVVM Projects: - integrated REST APIs into Android applications - implemented offline storage with Room database Experience: - Participated in agile development and version control workflows. - Tested, debugged, and deployed production-ready applications. Education: Bachelor of Science in Computer Science",Android Development
